car-id,overnightstay
20155306045344-471,no
20155506045548-864,no
20152606052635-272,no
20154506054512-623,no
20152006062054-938,no
20151006071004-39,no
20154106084128-953,no
20155206105236-868,no
20152307032352-90,no
20150307040337-388,no
20154007054004-20,no
20152507062510-527,no
20151907071951-454,no
20151607081638-405,no
20152807082801-714,yes
20154407084406-55,yes
20151107091117-166,no
20150107100101-687,no
20151107101114-603,no
20151507101514-517,no
20152907102943-591,no
20153707103738-243,no
20154707104714-7,yes
20154807104818-336,yes
20150907110929-382,no
20151107111143-376,no
20151807111855-648,yes
20152907112958-34,yes
20152607012617-339,no
20153507023544-222,yes
20152307032323-592,no
20155007035002-321,no
20150207040220-935,no
20151807041812-701,yes
20152007042003-474,yes
20150207050247-410,yes
20150907050946-464,no
20151507051530-305,yes
20150007060003-154,no
20151007061047-838,no
20153507063538-340,no
20153907063956-520,no
20151007071043-113,no
20153307083303-133,no
20154107094120-553,no
20152007102054-496,no
20150008010008-348,no
20150708010747-474,no
20154108014111-723,no
20151308021340-431,no
20152308022352-388,no
20152608022645-733,no
20152708042738-355,no
20154808044818-373,no
20151608051630-185,no
20155108055113-217,no
20150908060913-42,yes
20151008061036-397,no
20151408061423-887,no
20152208062246-552,no
20153808063835-434,yes
20155208065252-159,no
20155308075334-739,yes
20155808075820-882,no
20151308081312-606,yes
20152608082640-6,yes
20155508085530-44,no
20155908085904-135,no
20152208092238-312,yes
20154308094328-663,no
20155608095633-284,yes
20155708095746-227,yes
20153008103024-792,yes
20152808112822-341,no
20153308113328-678,no
20154008114008-610,yes
20154908114938-83,yes
20153108123136-918,no
20152708012754-464,yes
20152908012941-964,yes
20152008022034-837,no
20155008025038-252,no
20152808032805-306,no
20150608040651-249,yes
20150908040921-563,no
20152008052017-725,no
20153108053146-433,yes
20153408073457-999,no
20155608075604-962,no
20150008080010-6,no
20152008082026-609,no
20152308092357-115,no
20152508092529-564,no
20155708095706-36,no
20150108100148-571,no
20154308114314-130,yes
20150309010312-403,no
20154509024518-62,no
20150209030226-601,no
20150709030753-123,no
20151009031056-749,no
20151309031329-895,no
20152709032721-99,no
20150209040222-611,no
20150309050339-817,no
20151009061018-73,no
20154709074707-134,no
20155609075614-26,no
20150309080352-837,yes
20151809081807-728,no
20152009082046-820,yes
20152809082828-889,no
20155909085910-596,yes
20151709091702-944,yes
20153809093819-671,yes
20150309100312-290,yes
20155709105754-104,no
20153109123109-53,yes
20155509125554-329,yes
20155809125852-460,yes
20152209012245-920,yes
20150109020146-55,yes
20151909021950-190,no
20152709022719-478,no
20154109034123-194,no
20152309042350-396,yes
20155909045908-663,yes
20150409050412-493,yes
20155009055024-626,yes
20151609061625-849,no
20153909063900-406,no
20151709071708-623,no
20152409072455-322,no
20150909080919-967,no
20152110122153-299,no
20152610022639-223,no
20152610022654-88,no
20153210023203-833,no
20153710023742-746,no
20153810033802-347,no
20150610040641-716,no
20151510051515-843,no
20154910054906-343,no
20150310060307-190,no
20154510064550-279,yes
20155910065938-444,yes
20151010071016-369,yes
20151810071802-340,yes
20151810071816-403,no
20150910080953-624,yes
20151910081922-106,yes
20150210090226-728,yes
20153010103013-306,yes
20155210105207-288,no
20150410110411-548,yes
20152210112213-643,no
20155010115003-484,no
20155410115436-216,no
20153610123613-496,no
20154410124411-337,yes
20155610125617-623,no
20154310014313-489,yes
20154610014606-666,no
20153410023431-149,yes
20154910044953-135,no
20150110050107-785,no
20152410052429-714,no
20154010054018-304,no
20150610080607-654,no
20151310091305-997,no
20152710092718-59,no
20150110100128-45,no
20153210103235-776,no
20155010105008-953,no
20153510113536-637,no
20151511021500-100,no
20152011022004-669,no
20154111044139-392,no
20153111053120-55,no
20150911060943-442,no
20150911060947-468,yes
20150911060951-66,no
20154011064035-593,no
20155111065136-856,yes
20155811065818-614,no
20150111070138-888,no
20151811071822-531,no
20155911075946-694,yes
20153711083756-161,no
20154911084948-971,yes
20153311093300-612,yes
20155411105423-23,yes
20152411112400-77,no
20152411112403-168,yes
20154011114039-253,yes
20152511122549-56,no
20154611014629-696,no
20154811014801-200,no
20155311015300-19,yes
20150711020710-628,yes
20150211030247-915,no
20150611030606-430,no
20152011032039-149,yes
20151111041149-456,no
20155911045907-487,no
20152011052058-197,yes
20154211054209-984,yes
20152311062307-732,no
20151911071935-373,no
20150111080117-6,no
20151611081647-123,no
20150211090217-8,no
20154611104620-774,no
20152011112059-543,no
20151612121615-643,no
20152812012846-131,no
20152912012942-33,no
20151112031115-285,no
20151912031911-728,no
20154912034901-567,no
20155212035238-957,no
20150512040536-561,no
20153212043209-241,no
20154412044422-275,no
20155512045541-545,no
20155212055201-823,no
20151212061227-505,no
20151612061633-319,no
20151412071422-498,yes
20154312074332-201,yes
20155312075311-671,no
20152212092229-313,yes
20153012093056-795,no
20153512093515-115,no
20153012103014-90,no
20153912113932-996,yes
20150412120454-71,yes
20151812011836-943,yes
20152712012750-549,yes
20153712013718-885,yes
20154612024611-181,no
20153012033056-967,yes
20155812035804-861,yes
20155812035827-157,no
20151312041350-13,yes
20151612041658-450,no
20155012045013-236,no
20151112051139-269,yes
20151312051315-26,yes
20151412051445-249,no
20153212053251-318,no
20154612054651-827,yes
20155612055615-47,yes
20151112101120-762,no
20152312102355-589,no
20150312110359-70,yes
20154513124521-814,no
20155013125038-270,no
20151113011105-825,no
20152013012002-670,no
20153913013945-531,no
20155013025028-739,no
20154713044705-563,no
20153113053106-820,no
20154013054046-187,no
20150513060520-897,no
20151813061849-608,no
20155313065344-641,yes
20151313071329-807,no
20154313074351-635,yes
20154913074959-518,no
20152413082458-639,no
20152813082845-836,yes
20155413085400-638,yes
20152913102946-563,no
20151613111653-93,yes
20155113115142-894,no
20151313121350-300,no
20152113012118-334,no
20154913014902-715,yes
20150613020647-968,no
20151413021421-999,no
20151513021550-110,no
20151613021630-650,no
20153713023759-301,no
20151613031640-694,yes
20155913035913-863,no
20153013043036-968,yes
20154813044837-90,no
20150313050304-212,no
20150413050443-129,yes
20154713054724-651,yes
20151613071616-304,no
20153713073746-513,no
20153213083212-905,no
20150013090015-853,no
20152513092510-289,no
20151413101434-985,no
20151413111430-32,no
20155714025716-854,no
20151014031005-384,no
20151314031357-714,no
20151714031721-948,no
20154714034743-22,no
20154014044002-961,no
20154214054203-453,no
20150214060220-382,no
20152114062127-937,no
20151414071421-391,no
20152414072427-544,no
20153814083837-684,no
20153114093106-881,yes
20153514093535-484,yes
20154114094138-630,no
20155214095239-156,yes
20155314095334-971,no
20150514100502-324,no
20150914100951-759,no
20154214104218-27,no
20153314113313-788,yes
20154314114311-549,yes
20151814121800-358,no
20154414124412-684,yes
20154514124545-947,yes
20154814124836-965,yes
20150114010112-608,no
20151614011644-131,no
20151814011859-734,no
20153914013948-961,yes
20154914014926-653,no
20155414015450-986,yes
20153014023000-132,yes
20153514023557-288,no
20151514031521-506,no
20155814035817-335,no
20155414045435-904,no
20152114052147-25,yes
20154914054916-103,no
20155914055929-631,no
20151814071827-411,no
20152514072513-701,no
20151214081239-359,no
20150614110611-249,no
20151814111839-294,yes
20152914112921-623,yes
20154214114255-788,yes
20155114115112-703,yes
20152515122543-890,no
20154015124012-13,no
20151815011803-120,no
20152815022831-831,no
20155815025830-136,no
20151615031620-662,no
20152115052144-891,no
20150815060820-3,no
20151015061023-821,yes
20151215071240-346,no
20152615072606-62,yes
20153215073237-222,yes
20154215074223-266,yes
20150415080437-148,no
20151215081216-371,no
20154015084042-590,no
20154015084059-867,no
20150115090150-109,yes
20151415091432-219,yes
20153315093319-548,yes
20150315100304-407,no
20151915101951-61,no
20153615103638-158,yes
20154315104341-875,yes
20155415105428-961,no
20151415111423-26,no
20153415113407-427,no
20155115115153-800,no
20155815125820-398,yes
20150115010107-702,yes
20154215014241-33,yes
20151215021238-599,no
20151415021431-833,no
20152815032843-542,yes
20151415041403-291,yes
20152515042526-374,no
20152015052049-423,no
20154315054322-3,no
20154915054928-622,no
20155115055136-775,yes
20151915061937-761,no
20150315070348-862,no
20154515084557-683,no
20150915100950-869,no
20150315110302-350,yes
20155815115803-87,yes
20153716123736-670,no
20153816013852-363,no
20154216034241-337,no
20153516043535-625,no
20155816045845-680,no
20150316060340-469,no
20151516071503-790,no
20153116073107-991,no
20153516073525-764,no
20154916074958-56,no
20155716075743-384,no
20154916084939-496,yes
20152016092004-862,yes
20152216092258-194,no
20152716092742-820,no
20155016105014-878,yes
20155816105800-405,no
20150416110405-287,no
20151216111200-357,no
20154116114152-553,no
20150016120045-845,no
20150516120527-450,yes
20150916010943-697,no
20153616013639-745,no
20153816013824-587,no
20155516015501-914,yes
20150916020906-378,no
20152616022624-356,no
20152916022942-353,no
20153316033329-899,yes
20153416033407-294,no
20153716033755-459,no
20155116035104-470,no
20150416040445-103,yes
20155616045609-154,yes
20152816052835-878,yes
20154316054307-980,no
20155816065809-769,no
20152516072546-954,no
20155816075858-621,no
20155016095009-865,no
20151616111617-168,no
20152817022802-947,no
20150017050047-192,no
20155117055136-845,no
20153417063420-566,no
20153417063456-447,yes
20154417064427-657,no
20155417065430-542,yes
20155417065446-3,yes
20151617071647-820,yes
20152917072906-13,yes
20154417074427-897,no
20154317084350-24,no
20150617090658-734,yes
20151017091042-992,yes
20153217093212-471,yes
20155517095500-40,yes
20150817100809-138,yes
20151617101635-486,no
20151717101752-508,yes
20153217113237-195,no
20155917115921-698,no
20153717123705-260,no
20150117010157-104,yes
20150317010343-76,yes
20152017012005-964,no
20152817012849-833,yes
20154117014151-49,no
20151817021828-403,no
20152917022909-902,no
20153217023229-148,yes
20153817023856-742,yes
20151217031205-749,no
20155517035538-277,yes
20152017042002-599,no
20155717055748-249,yes
20150017060051-822,no
20151917061916-418,no
20150717070703-885,no
20152017072059-593,no
20152417072435-96,no
20152117082147-620,no
20152717092705-306,no
20153317093335-696,no
20150218120204-473,no
20151518121553-489,no
20154718024720-506,no
20150018030025-615,no
20155418035427-895,no
20155718035719-296,no
20150118040142-85,no
20155318045307-395,no
20152918052934-920,no
20155318055356-801,no
20154518064502-358,no
20155318065323-808,yes
20152918072959-170,no
20153218073239-628,no
20153618073639-900,yes
20154118084103-860,no
20150518110556-202,no
20150718110745-403,no
20152118112126-133,no
20154518114515-804,no
20154918114925-947,no
20151318121304-995,no
20154018124023-509,no
20155818125809-674,no
20150818010852-458,yes
20155418025400-514,no
20155718025735-7,no
20155418035409-213,no
20152018052046-592,yes
20154118074141-911,no
20150218080228-384,no
20154918094950-334,no
20155018095034-789,no
20150118100127-966,no
20154818104840-722,no
20155219125211-610,no
20155419125407-749,no
20151319011338-241,no
20150419020408-913,no
20154119024134-170,no
20152519042555-47,no
20152119062142-398,no
20150419070451-672,yes
20152119072139-838,no
20152019082054-582,yes
20151619091605-574,no
20152919092946-526,yes
20153119093102-397,no
20151319101335-59,yes
20153519103544-665,no
20153919103944-791,no
20155219105223-621,no
20150419110442-824,yes
20155119115106-194,no
20155919115923-739,no
20152219122244-561,yes
20154619124648-54,no
20153919013932-905,no
20155319015328-845,no
20151019021032-845,no
20153719023744-10,yes
20155719035725-878,yes
20150219040245-828,no
20154719044736-610,no
20150719050740-812,yes
20155119055145-309,no
20155519055512-566,yes
20152319062326-778,no
20150419070416-758,no
20151719081739-523,no
20154619084642-464,no
20151019111046-645,yes
20151619111615-309,no
20151719111714-100,no
20153519113505-557,yes
20153420013420-456,no
20153320023340-593,no
20153520023501-293,no
20151220031238-653,no
20155020035014-198,no
20152220062208-128,no
20151920071917-939,no
20152620072611-980,no
20153620073655-119,yes
20150820080854-186,yes
20154820084851-636,yes
20155520085531-173,no
20152120092115-393,yes
20152720092750-958,no
20152920092920-965,no
20154820094833-789,yes
20154520104544-696,no
20153120113117-670,yes
20155720115754-988,no
20150220120207-682,no
20151420121410-632,no
20153120123142-840,no
20155320125343-802,no
20151120021127-21,no
20153220023202-660,no
20154620024622-348,yes
20150020030052-644,yes
20152120032144-608,yes
20153820033837-589,no
20155020035009-541,yes
20155520035557-954,yes
20150920050941-93,yes
20154120054152-653,no
20155020055005-112,yes
20151020081055-387,no
20151420081404-970,no
20151620081616-194,no
20154120104143-547,no
20150121120122-416,no
20153121123155-556,no
20154221124230-401,no
20150821010853-587,no
20151521021518-235,no
20155921025909-417,no
20154221034210-218,no
20150621060618-266,yes
20151121061101-398,no
20152021062015-573,yes
20155021065012-863,yes
20151321071310-542,no
20151021081056-343,no
20152621082611-901,yes
20153421083416-459,no
20154321084329-326,yes
20155221085210-381,yes
20155421085451-765,no
20150321090310-782,no
20150821090834-726,yes
20151121091142-55,yes
20152721092721-707,no
20152821092859-995,no
20155821095827-669,no
20150821100818-35,no
20154921104938-325,no
20151521111559-556,yes
20154721114700-733,yes
20150521120539-683,no
20152221122225-86,no
20155821125843-445,no
20151521011559-569,yes
20153621013605-948,no
20153821013858-962,no
20151621021621-233,no
20153021023035-120,no
20153221023244-436,no
20152421032440-973,yes
20151121041130-372,no
20151621041638-653,no
20151921041950-16,no
20150121050143-645,no
20153721053713-825,no
20155121055133-479,no
20155221055211-397,no
20153421083449-867,no
20152021102031-370,no
20154121114124-273,yes
20153522013550-778,no
20150522030529-2,no
20151122041139-836,no
20150122060151-905,yes
20150122060153-192,no
20154222064254-555,yes
20153322083304-101,no
20153922083950-986,no
20153622093615-832,yes
20154822094857-448,yes
20154922094931-619,no
20151822101852-375,yes
20152222102227-126,no
20152322102328-907,no
20153322103306-803,no
20150722110719-792,yes
20153422113416-107,yes
20153622113653-407,yes
20155522115542-589,no
20150022120004-986,no
20153222123239-923,no
20153622123619-566,yes
20154222124252-449,yes
20155322125316-320,yes
20155422015444-143,yes
20151922021917-221,no
20155222025248-836,yes
20155922025905-519,yes
20151422031406-22,yes
20152022032029-340,yes
20152122032147-219,no
20153822033829-145,no
20155522035520-589,yes
20155622035604-568,yes
20151022041004-148,yes
20151522041555-163,yes
20152622042630-66,no
20151122051127-509,no
20151222061256-162,no
20151922061928-554,no
20152922092937-632,no
20155823125851-5,no
20155323015347-523,no
20151923021930-519,no
20155223025223-42,no
20150723030737-792,no
20150723030749-303,no
20155423035426-963,no
20150923040918-760,no
20152323042339-40,no
20150923050917-917,no
20155623055607-516,no
20150623060616-357,yes
20152423062407-315,no
20154823064844-637,yes
20155023065015-612,yes
20150323070338-324,no
20150823070821-824,yes
20151823071817-774,no
20155623075644-293,no
20152423082429-73,yes
20152923082949-398,yes
20154023084059-267,yes
20152623092639-730,yes
20154323094300-114,no
20152123112158-667,no
20154023114025-400,no
20154323114321-363,no
20154423124442-224,yes
20152923012904-916,yes
20150123020103-717,yes
20151123021124-160,yes
20151923021929-242,no
20152223022255-149,no
20153823023800-335,no
20151623031635-474,yes
20152323032339-44,yes
20153023033057-365,yes
20153123033149-311,no
20152523042522-538,yes
20152823042801-343,yes
20151323091321-552,no
20151523101503-652,no
20154923114938-391,yes
20153824123805-820,no
20153924023920-320,no
20154724024734-116,no
20151224031247-625,no
20151924031939-418,no
20151124041131-688,no
20152624042644-559,no
20153724043708-660,no
20155424045454-66,no
20151924061922-35,yes
20153924063948-428,no
20154224064222-83,no
20154224064246-493,yes
20150124080152-145,yes
20150324080316-784,yes
20150624080656-470,yes
20152824082822-470,no
20154724084739-245,no
20154824084859-212,no
20151024091047-753,no
20152724102747-37,no
20152924102954-975,yes
20154824104802-646,yes
20154424114431-782,no
20155024115021-588,no
20155824115842-88,yes
20150024120054-586,no
20151624121637-939,no
20152724122720-418,yes
20153024123002-663,no
20154424124420-192,no
20155724015714-289,no
20153724023746-464,yes
20155724025730-431,yes
20151324031316-217,yes
20152924032915-517,yes
20151124041119-151,no
20153024043021-679,yes
20153024043032-864,yes
20153324043332-415,no
20153624053656-871,no
20153624083625-903,no
20150325020355-94,no
20152425022404-621,no
20152625032611-756,no
20150525040549-978,no
20153425043407-967,no
20150225050254-301,no
20152425052447-406,no
20151425061414-287,no
20154225064221-390,no
20152725072720-764,no
20155125075128-608,no
20151625081606-434,no
20152625082625-798,yes
20153325083340-695,no
20150325090326-748,no
20150725090749-801,no
20154025094043-486,yes
20151025101044-367,yes
20154725104711-273,no
20155925105919-360,yes
20152025112000-919,yes
20151225121214-761,no
20153725123729-641,yes
20152125012145-520,no
20152525012508-370,no
20152625012610-60,yes
20153325033359-705,no
20154625034642-17,yes
20155225035240-735,no
20155825035821-104,no
20151025051010-523,no
20152025052053-433,yes
20152925052926-237,no
20153325053331-235,no
20153625053657-8,no
20152225072221-988,no
20152625072614-162,no
20154225074218-903,no
20151725081732-573,no
20150725090704-173,no
20151425091411-178,no
20152925092944-566,no
20151325101341-201,no
20153026123056-747,no
20152926022924-267,no
20150626050635-614,no
20150626050654-920,no
20153326053348-223,no
20153026063040-439,no
20153426063448-128,yes
20155326065330-762,no
20155926065906-435,yes
20151126071103-548,no
20154026084019-504,yes
20154626084632-450,no
20154926084915-416,yes
20150526090547-123,yes
20155326105319-704,no
20155926105935-616,no
20150726110704-418,no
20152026112029-817,yes
20154726114754-533,yes
20150126120104-294,no
20152826122849-281,yes
20153226123245-963,yes
20154326124353-561,no
20150526010540-67,no
20151126011144-948,yes
20151026021048-97,no
20151826021834-846,no
20153126023108-751,no
20153526023543-27,no
20154126024152-89,yes
20154826024802-859,no
20151026031053-559,yes
20151326031328-475,no
20154126034153-995,yes
20153126043138-498,no
20153526053519-888,no
20150026060010-577,no
20154026064058-741,no
20150327120333-393,no
20151027121014-341,no
20154627124616-217,no
20152627032619-195,no
20153327033307-541,no
20155027055051-523,no
20151627061623-296,no
20153227063240-542,yes
20155327065304-831,no
20155927065901-324,yes
20153927083939-140,yes
20155427085424-959,no
20152127092126-374,no
20154327094301-825,no
20154927094913-807,no
20150027100037-189,yes
20153627103631-641,yes
20155027105035-106,no
20155227105245-707,yes
20150527110537-183,yes
20151327111316-545,no
20155127115141-140,yes
20151627121622-355,yes
20152927012940-676,no
20151627021611-237,no
20152027022010-274,no
20152227022219-923,yes
20150727030747-610,no
20151927031903-610,no
20153827033840-612,no
20151327081308-327,no
20152027092015-55,no
20153127103100-938,no
20153127103111-444,no
20151927111958-830,yes
20151128011138-111,no
20150728020733-878,no
20155528025507-124,no
20150128050153-539,no
20153028053017-300,no
20154528054544-925,no
20155228055244-170,no
20150028060051-703,yes
20150228060253-886,no
20152928062902-195,yes
20150328070355-178,no
20154128074155-209,no
20155128075157-284,no
20152228082226-837,no
20152028092038-611,no
20153128093141-492,no
20150428100455-337,no
20151828101809-77,no
20154028104000-762,yes
20151228111242-521,no
20152428112424-840,no
20151328121327-774,yes
20155228125229-86,yes
20155628125625-241,no
20152528012520-453,no
20153228013258-73,no
20151528021553-459,no
20152828022811-779,no
20154028024025-412,no
20154428024444-390,yes
20155728025725-80,no
20150028030041-325,yes
20153228033213-336,no
20153928033930-548,no
20150028040010-50,yes
20150428040403-807,no
20151928041922-215,yes
20153028063039-6,no
20154028064022-977,no
20154928074930-941,no
20150828080839-667,no
20154728084707-484,no
20152728102705-563,no
20154928114901-274,yes
20152529122535-473,no
20155429015426-898,no
20153329023307-377,no
20152629032648-26,no
20155629045617-207,no
20151029051055-468,no
20150929070904-711,yes
20151029071053-279,yes
20153029073056-561,no
20154529074533-828,no
20154929074931-957,yes
20151429081414-706,no
20152429082415-229,no
20152729082724-578,no
20154129084107-872,yes
20154729084718-7,yes
20151229091239-775,no
20152529092545-735,no
20153029093029-8,yes
20152029102006-584,yes
20152729102731-508,yes
20155529105535-69,no
20152729112721-705,yes
20151029121011-173,yes
20151329121310-651,yes
20151329121356-610,no
20155629125653-788,yes
20150329010340-772,yes
20153829013822-10,yes
20155629025607-12,yes
20151829041813-309,no
20153229043223-757,no
20153529043556-955,yes
20153629043616-154,yes
20154429044417-123,no
20155129045121-174,no
20155329045346-171,yes
20154329054337-727,no
20154629054635-954,no
20151629061638-988,no
20150429070447-330,no
20150629070605-595,no
20155829075824-907,no
20152529102554-390,no
20150829110834-62,no
20154829114852-778,yes
20151630121648-874,no
20152230122219-12,no
20151330031343-393,no
20153730043729-348,no
20155830055828-679,no
20150030060046-176,yes
20154230064213-204,yes
20150230070214-548,no
20155930075904-615,yes
20150330080312-693,yes
20150330080320-3,no
20154130084155-739,yes
20150530090552-221,no
20152430092422-260,no
20155930095901-918,yes
20150330100336-92,no
20150230110228-138,no
20153730113759-10,yes
20155130115135-673,yes
20153230123219-637,no
20154930014953-552,no
20150630020625-936,no
20154330024309-947,no
20154430024407-253,no
20155630025632-929,yes
20151630031606-854,no
20152930032938-338,yes
20150830040854-938,yes
20155330045344-404,yes
20155730045759-380,no
20151130061141-5,no
20152230062207-827,no
20153230063225-220,no
20152430092456-841,no
20155530095524-691,no
20151131121113-604,no
20150031010000-784,no
20150831020845-212,no
20153131023125-354,no
20154331044349-646,no
20154331064335-322,no
20155831065804-376,no
20150831070819-751,no
20151431071428-170,yes
20152231072249-788,yes
20152831072854-53,no
20155931075906-547,yes
20153831083843-375,no
20151531091529-683,no
20153231093246-432,no
20154231094224-818,no
20150831100850-963,yes
20154531104533-497,no
20154931104919-11,no
20150631110613-672,no
20151431111405-813,yes
20152031112006-199,yes
20152331112333-23,no
20152731112735-564,yes
20153031113006-452,yes
20153031123024-700,no
20153831123814-376,yes
20153931123903-265,no
20151631011605-555,no
20152631012643-373,no
20150731030748-502,yes
20151131031129-413,no
20152031032030-321,no
20153031033036-351,no
20153831033841-860,yes
20155631035649-366,no
20154831044822-574,no
20150231050204-372,yes
20153531063525-211,no
20154631084627-225,no
20155231085202-341,no
20152731092708-712,no
20150431110424-91,no
20151501121556-124,no
20151701121719-196,no
20152901012954-69,no
20155101015153-997,no
20153601023648-750,no
20154001024033-540,no
20150201030222-313,no
20153101033114-620,no
20154201034255-306,no
20152401042455-455,no
20152901052918-928,no
20155901055918-875,no
20150401060447-851,no
20150501060550-176,yes
20151201061206-641,no
20151801061858-931,yes
20153801063806-347,yes
20151201071206-107,yes
20152701072708-253,no
20150201080212-913,yes
20151201081219-907,yes
20152401082415-2,no
20153401083408-692,no
20155301085312-76,yes
20155301085317-34,yes
20155501085548-717,yes
20152601092607-499,no
20153301093316-126,no
20153601093619-939,yes
20155501095556-405,no
20155801095814-110,yes
20152901102921-648,no
20153601103622-176,no
20150401110401-786,no
20150601110652-384,no
20152801112857-221,yes
20153101113145-895,no
20155401115457-529,yes
20151701121746-803,yes
20154701124730-552,yes
20150101010137-533,no
20150701010755-627,no
20151201011252-32,no
20151301011335-837,no
20151401011424-950,yes
20154001014024-716,no
20155501015552-358,yes
20150901020935-968,no
20152501022508-822,no
20155801025816-705,yes
20150201030223-912,no
20151101031124-24,no
20151201031215-712,yes
20151301031345-134,no
20151601031653-102,yes
20152101032137-838,no
20152501032517-581,yes
20152901032906-564,yes
20154201034219-24,no
20155601035646-448,no
20152101042140-726,yes
20152201042213-827,yes
20152401042423-667,no
20153801053802-368,yes
20153501063553-376,no
20153801073824-510,no
20154201074239-730,no
20151401081430-906,no
20153801093856-649,no
20152801102857-771,no
20152101112137-263,no
20154601114646-225,yes
20154102014126-174,no
20154602014633-106,no
20154402034416-232,no
20152202042207-865,no
20152802042836-36,no
20154402044449-102,no
20154702044723-914,no
20155902045926-725,no
20150502050519-627,no
20152402052415-950,no
20153502053554-972,no
20151102061112-279,no
